Term,Definition,Synonym
Self-Organizing,Teams are self-organized meaning they have both responsibility & authority. They are all motivated by a common goal.,None
Single Wringable Neck,This is the Product Owner.,None
Sprint Backlog,"The Sprint Backlog is the set of Product Backlog Items, or PBIs (Stories and Defects) planned for implementation in a Sprint.",None
Sprint Planning Meeting,"The ScrumMaster facilitates the Sprint Planning Meeting, which kicks off the Sprint, and which is attended by the team members and the Product Owner. The purpose of this meeting is to select from the Product Backlog those Product Backlog Items (PBI’s) the Team intends to implement in this Sprint.",None
Sprint Review Meeting,"The Spring Review meeting (also called Sprint Demo) held at the end of the Sprint. The team demonstrates the Sprint’s completed Product Backlog, to the Product Owner and other interested parties.",None
Sprint Task,A Sprint Task is a single small item of work that helps one particular story reach completion.,None
Sprint,"The basic development cycle for a project. Most often a sprint is 2-4 weeks, however, different organizations and projects select Sprint lengths that best meet their needs.",None
Stakeholders,"Anyone who needs something from the team or anyone who the team needs something from. Examples: Executives, Auditors, Security specialists, Enterprise Architects, Support engineers etc.",None
Story points,A Story Point is a simple way to initially estimate level of effort expected to develop. Story points are a relative measure of feature difficulty. Usually scored on a scale of 1-10. 1=very easy through 10=very difficult.,None
Story Template,A Story Template looks like this: “As a “user” I want “function” so that “result”.,None
Task Board,"A task board is a white board containing the teams Sprint goals, backlog items, tasks, tasks in progress, “DONE” items and the daily Sprint Burndown Chart.","Kanban board, Scrum board, Cork board, Whiteboard"
Team,"The Team is a self-organized and cross functional group of people who do the hands-on work of developing and testing the product. They are responsible for producing the product, it must also have the authority to make decisions about how to perform the work. Team is 7+/-2 members.",None
Technical Story,"Technical stories are the requirements that do not represent user-facing features, but do represent significant work that may support user-facing features.",None
Three Scrum Roles,"The three Scrum roles are the ScrumMaster, the Product Owner & the Team.",None
Time box,"A Time box is a span of time of fixed duration, dedicated to a particular purpose, whose boundaries are strictly enforced.",None
User Story,"A User story describes a desired feature (functional requirement) in narrative form. It usually contains a name, description, screen and external documents, and information about how the implementation will be tested.",None
Velocity,Velocity is the rate at which team converts items to “DONE” in a single Sprint. Usually calculated in Story Points.,None
XP (Extreme Programming),Extreme Programming is a software development methodology in which a team has to complete a working software in 1-2 weeks.,Extreme Scrum
